sae_type,gamma_reg,kval_topk
jumprelu,0.00125,0
jumprelu,0.0025,0
relu,1e-12,0
relu,1e-10,0
relu,1e-08,0
jumprelu,1e-12,0
jumprelu,1e-10,0
jumprelu,1e-08,0
sparsemax_dist,1e-12,0
sparsemax_dist,1e-10,0
sparsemax_dist,1e-08,0
topk_relu,1.0,2
topk_relu,1.0,6
topk_relu,1.0,10
topk_relu,1.0,12
topk_relu,1.0,14
topk_relu,1.0,18
topk_relu,1.0,20
